Country,Regional indicator,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (1.88) + residual
Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2.714
Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2.393
Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2.241
Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2.401
Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2.393
Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2.272
Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2.246
New Zealand,North America and ANZ,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2.127
Canada,North America and ANZ,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2.193
Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2.378
Australia,North America and ANZ,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2.094
Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2.933
Israel,Middle East and North Africa,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2.665
Luxembourg,Western Europe,7.09,1.609,1.479,1.012,0.526,0.194,0.316,1.954
United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2.112
Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.298,0.31,1.845
Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2.15
Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2.235
United States,North America and ANZ,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2.266
Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2.636
United Arab Emirates,Middle East and North Africa,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2.145
Malta,Western Europe,6.726,1.3,1.52,0.999,0.564,0.375,0.151,1.816
Mexico,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2.761
France,Western Europe,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2.021
Taiwan,East Asia,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2.045
Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2.397
Guatemala,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2.833
Saudi Arabia,Middle East and North Africa,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2.169
Qatar,Middle East and North Africa,6.374,1.684,1.313,0.871,0.555,0.22,0.167,1.565
Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.153,0.079,1.929
Panama,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2.141
Brazil,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2.48
Uruguay,Latin America and Caribbean,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2.014
Singapore,Southeast Asia,6.262,1.572,1.463,1.141,0.556,0.271,0.453,0.807
El Salvador,Latin America and Caribbean,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2.831
Italy,Western Europe,6.223,1.294,1.488,1.039,0.231,0.158,0.03,1.984
Bahrain,Middle East and North Africa,6.199,1.362,1.368,0.871,0.536,0.255,0.11,1.698
Slovakia,Central and Eastern Europe,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2.097
Trinidad and Tobago,Latin America and Caribbean,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2.081
Poland,Central and Eastern Europe,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2.003
Uzbekistan,Commonwealth of Independent States,6.174,0.745,1.529,0.756,0.631,0.322,0.24,1.951
Lithuania,Central and Eastern Europe,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2.202
Colombia,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2.286
Slovenia,Central and Eastern Europe,6.118,1.258,1.523,0.953,0.564,0.144,0.057,1.618
Nicaragua,Latin America and Caribbean,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2.49
Kosovo,Central and Eastern Europe,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2.469
Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2.096
Romania,Central and Eastern Europe,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2.302
Cyprus,Western Europe,6.046,1.263,1.223,1.042,0.406,0.19,0.041,1.88
Ecuador,Latin America and Caribbean,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2.225
Kuwait,Middle East and North Africa,6.021,1.5,1.319,0.808,0.493,0.142,0.097,1.661
Thailand,Southeast Asia,6.008,1.05,1.409,0.828,0.557,0.359,0.028,1.777
Latvia,Central and Eastern Europe,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2.073
South Korea,East Asia,5.895,1.301,1.219,1.036,0.159,0.175,0.056,1.949
Estonia,Central and Eastern Europe,5.893,1.237,1.528,0.874,0.495,0.103,0.161,1.496
Jamaica,Latin America and Caribbean,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2.125
Mauritius,Sub-Saharan Africa,5.888,1.12,1.402,0.798,0.498,0.215,0.06,1.795
