Country,Regional indicator,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (1.85) + residual
Norway,Western Europe,7.537,1.616,1.534,0.797,0.635,0.362,0.316,2.277
Denmark,Western Europe,7.522,1.482,1.551,0.793,0.626,0.355,0.401,2.314
Iceland,Western Europe,7.504,1.481,1.611,0.834,0.627,0.476,0.154,2.323
Switzerland,Western Europe,7.494,1.565,1.517,0.858,0.62,0.291,0.367,2.277
Finland,Western Europe,7.469,1.444,1.54,0.809,0.618,0.245,0.383,2.43
Netherlands,Western Europe,7.377,1.504,1.429,0.811,0.585,0.47,0.283,2.295
Canada,North America and ANZ,7.316,1.479,1.481,0.835,0.611,0.436,0.287,2.187
New Zealand,North America and ANZ,7.314,1.406,1.548,0.817,0.614,0.5,0.383,2.046
Sweden,Western Europe,7.284,1.494,1.478,0.831,0.613,0.385,0.384,2.098
Australia,North America and ANZ,7.284,1.484,1.51,0.844,0.602,0.478,0.301,2.065
Israel,Middle East and North Africa,7.213,1.375,1.376,0.838,0.406,0.33,0.085,2.802
Costa Rica,Latin America and Caribbean,7.079,1.11,1.416,0.76,0.58,0.215,0.1,2.899
Austria,Western Europe,7.006,1.487,1.46,0.815,0.568,0.316,0.221,2.139
United States,North America and ANZ,6.993,1.546,1.42,0.774,0.506,0.393,0.136,2.218
Ireland,Western Europe,6.977,1.536,1.558,0.81,0.573,0.428,0.298,1.774
Germany,Western Europe,6.951,1.488,1.473,0.799,0.563,0.336,0.277,2.016
Belgium,Western Europe,6.891,1.464,1.462,0.818,0.54,0.232,0.251,2.124
Luxembourg,Western Europe,6.863,1.742,1.458,0.845,0.597,0.283,0.319,1.62
United Kingdom,Western Europe,6.714,1.442,1.496,0.805,0.508,0.493,0.265,1.704
Chile,Latin America and Caribbean,6.652,1.253,1.284,0.819,0.377,0.327,0.082,2.51
United Arab Emirates,Middle East and North Africa,6.648,1.626,1.266,0.727,0.608,0.361,0.324,1.735
Brazil,Latin America and Caribbean,6.635,1.107,1.431,0.617,0.437,0.162,0.111,2.769
Czech Republic,Central and Eastern Europe,6.609,1.353,1.434,0.754,0.491,0.088,0.037,2.452
